,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
240,79,0.0327,0.655,300579,0.725,0.00264,0,0.0611,-5.497,1,0.188,125.8,4,0.326
241,76,0.0456,0.755,205147,0.575,0.00124,4,0.276,-8.393,0,0.0678,85.987,4,0.49
242,78,0.698,0.656,181522,0.577,0.0,10,0.296,-5.566,0,0.0802,173.094,4,0.861
243,74,0.568,0.851,235545,0.541,0.0,0,0.13,-6.825,1,0.0505,124.959,4,0.448
244,75,0.109,0.802,210387,0.59,0.0,6,0.429,-8.81,1,0.273,117.007,4,0.747
245,75,0.704,0.605,250001,0.335,0.00756,0,0.127,-10.49,1,0.309,141.839,4,0.455
246,80,0.0302,0.703,198903,0.723,2.06e-06,9,0.126,-5.45,0,0.0412,104.969,4,0.288
247,75,0.0166,0.764,180813,0.672,1.06e-06,6,0.103,-4.274,0,0.0655,150.021,4,0.594
248,76,0.241,0.755,238053,0.594,0.0,7,0.107,-5.906,1,0.216,178.929,4,0.237
249,75,0.413,0.735,217387,0.453,0.0,8,0.104,-8.264,0,0.0602,115.002,4,0.335
250,77,0.653,0.735,157777,0.525,0.918,6,0.101,-2.939,0,0.0441,160.147,4,0.369
251,80,0.374,0.747,215760,0.834,0.0,3,0.0586,-2.867,0,0.045,128.005,4,0.687
252,75,0.00175,0.666,204878,0.728,4.26e-06,7,0.0429,-5.808,1,0.0419,122.996,4,0.51
253,78,0.323,0.836,176000,0.766,1.18e-06,7,0.091,-6.229,0,0.0371,112.548,4,0.844
254,73,0.24,0.741,219136,0.37,0.0,8,0.118,-8.437,0,0.324,116.06,4,0.13
255,74,0.88,0.581,214293,0.197,0.0,3,0.107,-7.697,1,0.0329,130.367,4,0.349
256,71,0.0364,0.454,212374,0.66,0.0,0,0.181,-4.357,1,0.168,184.353,4,0.568
257,73,0.0491,0.491,182667,0.907,0.0,7,0.242,-3.594,1,0.0481,199.943,4,0.631
258,74,0.0491,0.6,175040,0.716,0.0,3,0.109,-5.554,0,0.384,180.165,4,0.246
259,75,0.000391,0.528,136562,0.797,0.011,4,0.14,-7.487,1,0.0485,143.785,4,0.751
260,78,0.465,0.745,167553,0.561,1.12e-06,9,0.0338,-5.513,0,0.072,195.918,4,0.902
261,75,0.0108,0.729,179831,0.687,0.0,8,0.162,-8.06,0,0.25,160.085,4,0.683
262,76,0.236,0.802,287040,0.463,0.00531,8,0.105,-8.379,1,0.162,103.961,4,0.291
263,74,0.0967,0.755,193973,0.552,0.0,9,0.158,-5.604,1,0.288,153.157,4,0.402
